"","region","R0","I0","rho"
"1","강원-강릉시",15.7480855571087,2.00715205056157e-05,0.00106983101729655
"2","강원-고성군",17.1379201555642,3.03834156060122e-05,0.00461038652364706
"3","강원-동해시",30.3770306184591,4.88273464572383e-09,0.0226676001566808
"4","강원-삼척시",18.0144697535646,4.27497599928036e-06,0.00279422482787005
"5","강원-속초시",26.3097129745123,3.60708458081843e-07,0.0118612241773094
"6","강원-양구군",20.8178095972769,1.84590044750295e-06,0.0106785887984868
"7","강원-양양군",17.1422718402212,1.09282583638165e-05,0.000285760535618682
"8","강원-영월군",17.7268224321383,9.81727982599717e-06,0.000836559312018044
"9","강원-인제군",20.3426895445735,2.90246119031867e-06,0.00939875621532001
"10","강원-정선군",16.5222162577501,0.000171707122167729,0.00131133993942853
"11","강원-철원군",16.3324769633035,4.39143284277361e-05,0.00421633245666087
"12","강원-춘천시",17.2772512351709,1.05978046885091e-05,0.00781203861491272
"13","강원-태백시",17.4327617334966,8.86791314249728e-05,0.0012942221517131
"14","강원-평창군",16.871125643824,4.58220513765667e-06,0.00105154497240278
"15","강원-홍천군",21.9719620746077,5.21692818323981e-06,0.0108961603226413
"16","강원-화천군",15.7677475362341,4.90198579626664e-05,0.00441855339693184
"17","강원-횡성군",15.3474858431549,0.000628160591297621,0.0179964758715019
"18","경기-가평군",18.512260304827,0.000195438196909901,0.00931770989676859
"19","경기-고양시 일산서구",16.7516699067315,3.85865873039498e-05,0.0109309821185298
"20","경기-과천시",16.6663990730161,3.51460149478821e-05,0.007384551084637
"21","경기-구리시",19.823095354279,1.6246623296646e-05,0.0109182939442543
"22","경기-군포시",18.5687294353642,2.16754082519498e-05,0.00629148150414186
"23","경기-동두천시",16.2389424588421,6.27091543411503e-05,0.00271448823031544
"24","경기-부천시",16.8945348630691,5.01728507897421e-05,0.00148013484868785
"25","경기-부천시 소사구",16.8734425494628,4.06406220307241e-05,0.0033585618138622
"26","경기-부천시 오정구",16.6968310322148,8.21277122832918e-05,0.00398579674953416
"27","경기-성남시 수정구",18.8578585942001,8.09000771484705e-05,0.00361495859262417
"28","경기-성남시 중원구",17.1784361278289,0.000188461713995972,0.00530746874234931
"29","경기-수원시 권선구",15.362399147274,0.000108402643905728,0.0062342799728943
"30","경기-수원시 영통구",17.9020730131517,2.66353651421272e-05,0.00458798994770997
"31","경기-수원시 장안구",17.08390387936,3.00669073941284e-05,0.00457862060528962
"32","경기-수원시 팔달구",16.2256893745689,5.38073726112855e-05,0.00336626290798092
"33","경기-안산시 단원구",18.8421037557772,0.000143050951273791,0.0105110438055935
"34","경기-안성시",16.9941863957902,0.000199657900914829,0.00852412150969162
"35","경기-안양시 만안구",16.6466011143178,0.000151429070820079,0.00967758054147772
"36","경기-양주시",17.3630754070284,8.13499674763783e-05,0.00719338016397418
"37","경기-양평군",17.5455247470392,2.54358254037539e-05,0.00625770600082786
"38","경기-여주시",18.6611809902341,3.3345589656776e-05,0.00260688157623159
"39","경기-연천군",18.2675545911682,1.09849624404497e-05,0.000721209761569742
"40","경기-용인시 기흥구",14.9251832528343,4.53607359590191e-05,0.00451982499643891
"41","경기-용인시 수지구",17.8346123782944,4.82267141976027e-05,0.00563689965751792
"42","경기-용인시 처인구",15.8060936367217,9.98624729687986e-05,0.00633562012503944
"43","경기-의왕시",17.3337721267134,2.10005044684036e-05,0.0073796254484547
"44","경기-의정부시",18.3766394080045,7.72958879946422e-05,0.00461031875361044
"45","경기-이천시",17.5630799846409,6.7749755424438e-05,0.00404597586732056
"46","경기-포천시",15.3499967218109,0.000261240211714998,0.00603253771832025
"47","경남-거제시",12.1909755200333,0.000733141186914991,0.0178766381811656
"48","경남-거창군",14.4546973319664,3.70084468058572e-05,0.00705898226545225
"49","경남-고성군",15.4306065757574,0.000181103843389518,0.0105858758072687
"50","경남-남해군",13.3686279619638,0.000246284597245835,0.0184657191962064
"51","경남-밀양시",18.2826255184673,2.61666904555807e-05,0.0113432069261404
"52","경남-사천시",11.1052746897681,0.00103682836288315,0.0303357940053968
"53","경남-산청군",17.5896855255008,1.67648695554804e-05,0.000694064795860826
"54","경남-양산시",18.2981870277357,3.22438180618274e-05,0.00412380080287348
"55","경남-의령군",18.7194374345884,0.000294396572851524,0.00935318555970301
"56","경남-진주시",15.0308863551912,3.57644832263576e-05,0.00468589343920509
"57","경남-창녕군",18.4432647786436,0.000134451914046318,0.0120207955581475
"58","경남-창원시 마산합포구",12.1349119743227,0.00110948280646419,0.0232795049252573
"59","경남-창원시 성산구",16.3096297297683,0.000126565322277681,0.0123725045936967
"60","경남-창원시 의창구",18.8492186432244,0.000177108476631078,0.0137348317308767
"61","경남-창원시 진해구",14.7342290706996,0.000114377391752124,0.0146454094173082
"62","경남-통영시",14.280104866838,0.000815452426515953,0.0129992375058589
"63","경남-하동군",13.9763777079896,4.73461324670717e-05,0.00797646292971013
"64","경남-함안군",10.2752605628141,0.0016887401701695,0.0305454805097776
"65","경남-함양군",10.8190941494793,0.00203697538107353,0.0283520077867776
"66","경남-합천군",16.4782219230545,0.000120129785050275,0.000418882983514093
"67","경북-경산시",16.547882599293,2.27575738523825e-05,0.00920057584377568
"68","경북-경주시",18.0799852136083,2.3601000278076e-05,0.0100666290073948
"69","경북-고령군",15.1222820804061,3.23632100188145e-05,0.00592800595104463
"70","경북-김천시",14.5355764233041,0.000177024360264659,0.00444532071157609
"71","경북-문경시",15.8851542165505,0.000138193686126522,0.00556957686755957
"72","경북-봉화군",15.8314043527367,0.000848653814074604,0.0026726369527996
"73","경북-상주시",15.5762408905613,0.000267847676031548,0.00238948178973517
"74","경북-성주군",17.4847279642632,4.00907395270613e-05,0.00169098119028101
"75","경북-안동시",16.5895803571645,9.0788555570175e-05,0.0110036282121854
"76","경북-영덕군",21.6967527765567,1.57110302404606e-05,0.0062163849726662
"77","경북-영양군",18.0991071251038,2.51822091374101e-05,0.00441753569288038
"78","경북-영주시",13.9480460757132,0.000526586727638647,0.00979059808525302
"79","경북-영천시",16.4092380538303,7.96669646374756e-05,0.00308304949750836
"80","경북-예천군",22.9535463940234,1.13168313137901e-06,0.0136447141726094
"81","경북-울릉군",16.9672033922682,0.000112917699339082,0.00012694507495237
"82","경북-울진군",16.6321374823349,2.63199523859279e-06,0.00293554206763895
"83","경북-의성군",19.8970714276305,2.63240492466806e-05,0.00378552640855476
"84","경북-청도군",17.0436545866265,2.01713051097832e-06,0.00261630812111313
"85","경북-청송군",16.208902038334,4.49418561647872e-05,0.00240881455381514
"86","경북-칠곡군",18.4876822575584,5.55578959691582e-05,0.00555065516992651
"87","경북-포항시 남구",16.6322402839942,0.000101840946661057,0.00770323557319474
"88","경북-포항시 북구",15.1018652359624,0.000179830197204649,0.00300919669656564
"89","광주-광산구",13.9648755864375,0.000145414236276178,0.0078132888567338
"90","광주-남구",14.7480107681118,0.000282670957915739,0.00707103798067256
"91","광주-동구",13.9656069947813,0.000224434675407092,0.00314308021155271
"92","광주-북구",14.1721189034183,0.000285354852756172,0.00775821779066228
"93","광주-서구",15.5231925671513,0.000151629229870305,0.00474243333702146
"94","대구-군위군",13.8109638570081,2.19830914825923e-05,0.00457049111826545
"95","대구-남구",16.4019338207411,2.58225029591502e-05,0.00552874501261049
"96","대구-북구",15.1275425143924,5.96975050041773e-05,0.00477875947651815
"97","대구-서구",18.3461777306582,1.03598518584921e-05,0.0054025943136679
"98","대구-중구",15.5976800178763,4.59998074047449e-05,0.00500166752245527
"99","대전-대덕구",15.4764968817786,0.000137547658300518,0.00526521434095307
"100","대전-동구",16.2512648033213,6.03364019378782e-05,0.0060755535564232
"101","대전-유성구",16.6291052099635,9.97194079557549e-05,0.00753198261380347
"102","대전-중구",19.4799911649759,7.44894478583861e-05,0.0053557960148948
"103","부산-강서구",15.2055155687366,5.51023046904208e-05,0.017938596971259
"104","부산-금정구",15.0395874063885,4.97550471094409e-05,0.00642997910018205
"105","부산-기장군",15.994611819487,5.00422644394012e-05,0.006932271931844
"106","부산-남구",15.3081466001942,9.79153163209805e-05,0.00474598041241499
"107","부산-동구",14.7632717870542,6.60467004283886e-05,0.00383295741567042
"108","부산-동래구",16.1118338354033,6.17705432306921e-05,0.00893392635811925
"109","부산-북구",16.4722027150881,2.21647344399512e-05,0.00236068939414536
"110","부산-사상구",16.3834756763211,3.80972356981614e-05,0.00831288853877793
"111","부산-서구",14.2145621686626,0.000416082563279146,0.0098936791975358
"112","부산-수영구",16.7789912898031,7.98019237395653e-05,0.00683763971610171
"113","부산-연제구",15.8599663348006,5.97926439911242e-05,0.00446304190494647
"114","부산-영도구",14.0149416739864,0.000114210540894238,0.0140610908671781
"115","부산-중구",16.8875125992002,0.000126885214133378,0.00530228335223354
