"","region","S0","Sfinal","I0","rho"
"1","강원-강릉시",0.144169500795963,7339.55386577672,2.51715128344046e-05,0.00116493081145186
"2","강원-고성군",0.163074718423051,626.410993579897,3.03628065106358e-05,0.00427575382047904
"3","강원-동해시",0.497696844118849,119.626652841282,7.4916250762327e-12,0.00674737920428042
"4","강원-삼척시",0.185114141304219,1297.8032996284,1.86544482186655e-06,0.00220675227074481
"5","강원-속초시",0.336219854622246,90.8332335622482,2.46266054897015e-08,0.00529988433907294
"6","강원-양구군",0.283690060297903,84.594065268512,4.43919469940457e-08,0.00541289636438635
"7","강원-양양군",0.540561207704003,7.38274003434633,9.44139703670125e-12,6.81044728995763e-05
"8","강원-영월군",0.210496130290443,404.639620701316,1.18832391279356e-06,0.000552726459204825
"9","강원-인제군",0.226745429545614,253.794950362132,6.565803847771e-07,0.00607770383512012
"10","강원-정선군",0.131176772190051,1598.21610307551,0.00027988929189761,0.00181532985203289
"11","강원-철원군",0.151160097451926,1189.52420086075,4.84074919075239e-05,0.00432540166724285
"12","강원-춘천시",0.163112369943305,7128.03338215047,1.11670737401626e-05,0.00729551567111722
"13","강원-태백시",0.183916193846161,968.661940628617,6.49979644813086e-05,0.00101110118696893
"14","강원-평창군",0.152581677983185,1429.88117676028,7.47286525785562e-06,0.00108542768876332
"15","강원-홍천군",0.21972045629473,516.997886656827,4.32822307611772e-06,0.00747207541437516
"16","강원-화천군",0.14090024761648,809.671674428817,6.1722219663756e-05,0.00510256753180787
"17","강원-횡성군",0.134790663516361,1990.31580185873,0.000695240353957368,0.0214023115535882
"18","경기-가평군",0.198942102268547,2309.25377407233,0.000140193158956457,0.00674877701912304
"19","경기-고양시 일산서구",0.158126197283411,7264.7755456263,3.95410361214946e-05,0.0105318603546732
"20","경기-과천시",0.157002886442916,2109.01418436109,3.61866386031638e-05,0.00717811309554528
"21","경기-구리시",0.188739795523587,2810.13876914223,1.86859516085986e-05,0.00879003975741926
"22","경기-군포시",0.176285370954096,4659.57870705488,2.38201349823619e-05,0.00542524295859262
"23","경기-동두천시",0.150529369248045,2712.21272329513,6.74748318025771e-05,0.00280211558133398
"24","경기-부천시",0.159432924892298,20284.63011875,5.19766856690099e-05,0.00141543035966598
"25","경기-부천시 소사구",0.159009502758337,5858.04008128281,4.25038877002164e-05,0.00322302518802214
"26","경기-부천시 오정구",0.156865177029347,4625.98554402315,8.49894934901416e-05,0.00388676572039379
"27","경기-성남시 수정구",0.186578949689103,6691.23426825932,7.78950780453914e-05,0.0028860264062656
"28","경기-성남시 중원구",0.163249353697139,8289.93647793825,0.000193094759518051,0.00493928161240289
"29","경기-수원시 권선구",0.144328008337762,13101.7974472997,0.000103411347810586,0.00661550228791426
"30","경기-수원시 영통구",0.169519870401523,7603.05784634948,2.8647404536796e-05,0.00411793512461319
"31","경기-수원시 장안구",0.161326259083324,6569.85010741747,3.13693157017665e-05,0.00432255230508443
"32","경기-수원시 팔달구",0.15226180008305,5703.7581197094,5.49484548700095e-05,0.00338770271977433
"33","경기-안산시 단원구",0.182464908615314,11011.1627851222,0.000149982671503567,0.00868388137103409
"34","경기-안성시",0.160648906491215,8114.70236506736,0.000205801771365578,0.00808699992253224
"35","경기-안양시 만안구",0.156996866483709,8885.55652100995,0.000154187603245327,0.00940480730680909
"36","경기-양주시",0.164444310861771,8801.21444235897,8.52505286674884e-05,0.00665047318335812
"37","경기-양평군",0.166202905704257,2789.14769511003,2.67283446821105e-05,0.00572451353643894
"38","경기-여주시",0.184748913577394,2081.21997887283,3.06386193917653e-05,0.00210490422479523
"39","경기-연천군",0.409669110901586,21.2365806138618,1.15661554175103e-09,0.000239116899426368
"40","경기-용인시 기흥구",0.14016812849942,15989.1325175893,4.29108263337979e-05,0.00494245898156777
"41","경기-용인시 수지구",0.168933114333058,9116.9388911673,5.19147560595474e-05,0.00507496213401863
"42","경기-용인시 처인구",0.14859090647936,9741.25660360291,9.77894917445176e-05,0.00652421690382932
"43","경기-의왕시",0.163880708057735,3607.36786346367,2.19775220548107e-05,0.00685870897124889
"44","경기-의정부시",0.175298992824855,13460.8100249429,8.34620584144191e-05,0.00398753310273411
"45","경기-이천시",0.166966955554238,6173.84903150111,7.09537093396701e-05,0.00367769303966498
"46","경기-포천시",0.136349249918087,6608.28736462653,0.000290442663463518,0.00714625642748129
"47","경남-거제시",0.109071432040859,12736.7259029698,0.000590641076679371,0.0270061191438434
"48","경남-거창군",0.13201064394434,2607.50222807611,4.19387906041116e-05,0.00854317872950373
"49","경남-고성군",0.13848864241641,2046.83930415003,0.000193763010852737,0.0122465208616358
"50","경남-남해군",0.109555605825631,2285.90947782967,0.000277562321307732,0.0338720309641731
"51","경남-밀양시",0.173757391026212,1959.67716467405,2.8133946097284e-05,0.00992399024754006
"52","경남-사천시",0.095470931135636,6222.84377677369,0.000750616103602884,0.0575270376818563
"53","경남-산청군",0.208808461225248,336.073245253421,1.90489664880047e-06,0.00045695324143569
"54","경남-양산시",0.173808793741286,7468.08994338798,3.48977341838718e-05,0.00360350890642217
"55","경남-의령군",0.281928902200015,595.91752860278,6.44222877380706e-05,0.00440048565965818
"56","경남-진주시",0.140960184711485,12405.2009679431,3.45579844824063e-05,0.00509781257840977
"57","경남-창녕군",0.190039756525314,1905.67395076404,0.000110739654517164,0.00923633820095555
"58","경남-창원시 마산합포구",0.107845161427165,8986.51807864943,0.000902012762342639,0.0352637085271497
"59","경남-창원시 성산구",0.153759420437022,8751.72821059262,0.000126508132220659,0.0122795807701694
"60","경남-창원시 의창구",0.183626235484151,8174.41800333034,0.000182321697612002,0.0112417226024151
"61","경남-창원시 진해구",0.138432977006618,7226.21362768023,0.000104802017261812,0.0162051649541655
"62","경남-통영시",0.124959333008709,5259.36844444429,0.000839257548151475,0.0168023099283944
"63","경남-하동군",0.124484385731009,2010.94402083526,5.90423570190962e-05,0.0108832096402918
"64","경남-함안군",0.078659830938626,3271.61425304508,0.000996947731851808,0.0951551055950463
"65","경남-함양군",0.0765056430980853,1891.05473467878,0.0013073143810818,0.0971044595463081
"66","경남-합천군",0.1177755171271,2092.78254081665,0.000192225771792162,0.000824608893311741
"67","경북-경산시",0.155993923747659,7173.15165796928,2.32738453655553e-05,0.00899423924424016
"68","경북-경주시",0.171109270400698,4920.57633823764,2.57039818621256e-05,0.0089518947864909
"69","경북-고령군",0.135401593873845,1206.16630452598,4.43353325053925e-05,0.00717100732683835
"70","경북-김천시",0.129073461651208,6249.31619229614,0.000187405602065986,0.00569392798712617
"71","경북-문경시",0.144242886703437,2596.23489117926,0.00015033039438726,0.00609082220595022
"72","경북-봉화군",0.0584838969085407,1591.64923858887,0.000245126508728838,0.125538778298324
"73","경북-상주시",0.112223477410735,4969.57878593693,0.000494320029395818,0.00442326389965728
"74","경북-성주군",0.175754377676715,810.508202702516,3.1899157520078e-05,0.00139816672035192
"75","경북-안동시",0.156483797595041,4888.05988046073,9.22214229908394e-05,0.0107268548967919
"76","경북-영덕군",0.262970568256382,219.568338926165,4.78200090168617e-06,0.00344449984213356
"77","경북-영양군",0.185625661668531,231.790927480418,1.65637445134628e-05,0.00345442954630993
"78","경북-영주시",0.113294463390952,5183.51927719702,0.000617415115826709,0.0155574319804627
"79","경북-영천시",0.152794318687777,3051.73834320632,8.31701857011859e-05,0.00309892390034986
"80","경북-예천군",0.256017880209653,246.948132742734,2.77582710781723e-07,0.00796172669153305
"81","경북-울릉군",0.0164079645342077,144.595778369792,2.69947726128164e-05,0.00279002709154485
"82","경북-울진군",0.149004343738901,1974.89114219828,4.62756080823588e-06,0.00314413338477891
"83","경북-의성군",0.218119405447998,589.265728520014,1.55299959204109e-05,0.00252897966067812
"84","경북-청도군",0.160366243647834,1531.50968486701,2.17413910179293e-06,0.00249008836786082
