"","region","S0","Sfinal","I0","rho"
"1","강원-원주시",0.150391111433659,12608.0594959021,0.000109834032914469,0.013126413974166
"2","경기-고양시 덕양구",0.143585088954362,17505.8206195221,9.59740596536951e-05,0.00802576764707606
"3","경기-고양시 일산동구",0.152585140213311,8613.12158431652,5.14750363897091e-05,0.0150504680771007
"4","경기-광명시",0.156460269440291,7751.7494574852,2.25508770158282e-05,0.0114644712102451
"5","경기-광주시",0.134430021911882,18352.9335743155,0.000245788225317807,0.017047481409733
"6","경기-김포시",0.166819044492717,16211.507735281,0.00011478323383809,0.0178825108674219
"7","경기-남양주시",0.137492000993037,33130.9624741805,0.00024496966642011,0.0142772136856205
"8","경기-성남시 분당구",0.181272315778619,12841.7197017671,7.3290978009802e-05,0.00856081418133667
"9","경기-시흥시",0.145540094098744,19163.4580102659,0.000125479336929062,0.0148540748996256
"10","경기-안산시 상록구",0.226271988144805,10767.7858046087,8.04745923943754e-05,0.00796426196541364
"11","경기-안양시 동안구",0.166739688910068,8978.58102343995,6.95337447451469e-05,0.015816201566514
"12","경기-오산시",0.165197462938548,5878.13042496767,4.2743166723338e-05,0.0220779853443201
"13","경기-파주시",0.137123364599563,22822.8958321064,0.000196509512912166,0.0134251099893454
"14","경기-평택시",0.151414149830623,19806.1744902766,8.91092296785751e-05,0.00765300239472558
"15","경기-하남시",0.16449343607964,9188.22982934728,7.29804566257238e-05,0.0104992917022374
"16","경기-화성시",0.156733617200697,33438.7194119073,0.000112951880098024,0.00901203359063474
"17","경남-김해시",0.141572347255659,19109.970437122,7.65460239710109e-05,0.0118127058713565
"18","경남-창원시 마산회원구",0.0850315540394714,9172.84476722567,0.00136357632716424,0.0709653977855267
"19","경북-구미시",0.185845357831196,14373.9583263687,0.000122938115376381,0.0106575887140155
"20","대구-달서구",0.160783806418436,12941.5696692713,3.99660609104832e-05,0.00770870609950393
"21","대구-달성군",0.180270983607209,4305.59601425285,7.62162780602418e-06,0.0139462984158931
"22","대구-동구",0.140835592703581,12319.844396786,7.70966757258756e-05,0.0119881085502483
"23","대구-수성구",0.169697174507363,9111.42718267134,8.04506046798582e-06,0.0109207918383778
"24","대전-서구",0.153568588231251,17389.0161954132,0.00014717241877785,0.010579115206978
"25","부산-부산진구",0.179294784235812,6290.67792469929,7.90087519912934e-06,0.00702843889995878
"26","부산-사하구",0.16089965094219,11220.7436878389,0.000170485100823073,0.0113318678512188
"27","서울-강남구",0.163262842532836,16602.9991901883,8.54415375808042e-05,0.00760946007751776
"28","서울-강서구",0.179552225989617,14140.4903453144,6.47753330376124e-05,0.00490416300769391
"29","서울-노원구",0.188500027801786,18057.4638155875,0.00013938836482376,0.00898869665328407
"30","서울-서초구",0.162625395802808,10127.1060300634,4.24055467970155e-05,0.00709261093316717
"31","서울-송파구",0.168873824175563,14375.7846609607,3.84965859065028e-05,0.00554982957116187
"32","서울-양천구",0.193947004936766,8149.01329510605,3.63466675101881e-05,0.00667693206073286
"33","세종-세종시",0.154812739649192,13339.9910243086,7.3550005938751e-06,0.012524266434687
"34","인천-미추홀구",0.169988783646933,14967.7537728296,0.000134186749612397,0.0120630264138212
"35","인천-부평구",0.140838652982445,22598.9526615992,0.000291498179861029,0.012558022610511
"36","인천-서구",0.162390511780202,24436.5501044958,0.000154233250292984,0.0162423619198344
"37","인천-연수구",0.162866656212087,12189.1755544217,8.51276128966576e-05,0.0123331132881019
"38","전남-여수시",0.196462364634786,8712.81326718949,9.54372655829071e-05,0.0110645231093214
"39","전북-군산시",0.147633531692565,9239.49483149772,0.000116359195695296,0.014811686832284
"40","전북-익산시",0.158779263556824,10886.2637702232,0.000196044142426427,0.0159077900941129
"41","제주-제주시",0.157637127114238,19238.6886369674,0.000178096198443293,0.0161668267079281
"42","충남-천안시 서북구",0.159167539028093,10352.0691002113,1.71705740273114e-05,0.0116109648137458
