"","region","shool","prop_school"
"1","서울-종로구",13579,0.0980426134107335
"2","서울-중구",9241,0.0775206154001023
"3","서울-용산구",20010,0.0941926312271403
"4","서울-성동구",27420,0.0990032874724013
"5","서울-광진구",33381,0.099945806922941
"6","서울-동대문구",33025,0.0981594180283406
"7","서울-중랑구",35261,0.0924050981219445
"8","서울-성북구",50246,0.118197932018429
"9","서울-강북구",26903,0.0932007420584674
"10","서울-도봉구",31907.5,0.103794268910351
"11","서울-노원구",64453,0.129258487896494
"12","서울-은평구",50456.5,0.108830647248633
"13","서울-서대문구",32641.5,0.107488622667729
"14","서울-마포구",39013,0.10808541997972
"15","서울-양천구",65000,0.149124980499041
"16","서울-강서구",60877.5,0.108137849446321
"17","서울-구로구",41234.5,0.105242940967782
"18","서울-금천구",18791,0.0827502080755325
"19","서울-영등포구",35308,0.094851636491607
"20","서울-동작구",38220,0.101368420633858
"21","서울-관악구",35509.5,0.0738360674826662
"22","서울-서초구",62267.5,0.155043729963584
"23","서울-강남구",81574.5,0.153997978144707
"24","서울-송파구",84237.5,0.129215167893434
"25","서울-강동구",57172,0.125216964695395
"26","부산-중구",2319.5,0.0596993797132783
"27","부산-서구",10144.5,0.0974252348116705
"28","부산-동구",6759,0.0780719384572735
"29","부산-영도구",9471.5,0.0886749086006657
"30","부산-부산진구",35133,0.098734934934091
"31","부산-동래구",37136.5,0.137013567982881
"32","부산-남구",31593,0.124330737944428
"33","부산-북구",31393,0.113997182116608
"34","부산-해운대구",50917.5,0.133467978694403
"35","부산-사하구",33825,0.113185765196005
"36","부산-금정구",22872.5,0.10512177074285
"37","부산-강서구",25423.5,0.178455609838275
"38","부산-연제구",23710,0.116289050142602
"39","부산-수영구",16703,0.096237057864382
"40","부산-사상구",19851,0.0980148668965909
"41","부산-기장군",29071,0.16310671985547
"42","대구-중구",9339.5,0.111145490571763
"43","대구-동구",39236.5,0.11546446664283
"44","대구-서구",13653.5,0.0847798617169575
"45","대구-남구",11961.5,0.0857824153757889
"46","대구-북구",57066.5,0.134578105839072
"47","대구-수성구",65529,0.160573496024808
"48","대구-달서구",72105,0.135839693901484
"49","대구-달성군",40812,0.15566464133283
"50","대구-군위군",1163,0.0503256236612648
"51","인천-중구",21177,0.136723718275668
"52","인천-동구",6453,0.109448939093268
"53","인천-미추홀구",45243,0.112156552629394
"54","인천-연수구",64829.5,0.167369963275396
"55","인천-남동구",66820.5,0.134562077419939
"56","인천-부평구",56686.5,0.115943466655758
"57","인천-계양구",32211,0.113772349338438
"58","인천-서구",92483,0.153051666501175
"59","인천-강화군",6005.5,0.0868901556803056
"60","인천-옹진군",1449,0.0709928713162343
"61","광주-동구",11551.5,0.10923300961693
"62","광주-서구",39714.5,0.139525365373805
"63","광주-남구",32235,0.153129572272788
"64","광주-북구",57859,0.137151485556888
"65","광주-광산구",70395.5,0.176961596376077
"66","대전-동구",26432.5,0.121365519932964
"67","대전-중구",27617,0.123171406144075
"68","대전-서구",66577,0.142938881106119
"69","대전-유성구",56830.5,0.157657545191251
"70","대전-대덕구",20231.5,0.118592355082446
"71","울산-중구",27835.5,0.1339862045064
"72","울산-남구",40987,0.133234513482896
"73","울산-동구",23652.5,0.156046406528846
"74","울산-북구",37564,0.172955352250805
"75","울산-울주군",30230.5,0.137609646627186
"76","세종-세종시",76483.5,0.199032467507121
"77","경기-수원시",163666,0.13768851450173
"78","경기-수원시 장안구",36103,0.134015107927022
"79","경기-수원시 권선구",48291,0.132130891420426
"80","경기-수원시 팔달구",20245,0.10463911264792
"81","경기-수원시 영통구",59027,0.163818045323538
"82","경기-성남시",119592,0.130646025544317
"83","경기-성남시 수정구",24048.5,0.103728641026913
"84","경기-성남시 중원구",21637,0.103285891930984
"85","경기-성남시 분당구",73906.5,0.155900329597891
"86","경기-의정부시",58548.5,0.126919833601776
"87","경기-안양시",69531,0.127838072877501
"88","경기-안양시 만안구",24346,0.105209708540672
"89","경기-안양시 동안구",45185,0.14459454486399
"90","경기-부천시",92733,0.118728330508084
"91","경기-광명시",40213,0.142232110013865
"92","경기-평택시",83379,0.143275318562865
"93","경기-동두천시",11045,0.123523754137962
"94","경기-안산시",78822,0.124781238646375
"95","경기-안산시 상록구",42360,0.125461855715904
"96","경기-안산시 단원구",36462,0.123999741539675
"97","경기-고양시",142531.5,0.13328455105891
"98","경기-고양시 덕양구",61983.5,0.126283159427052
