"","region1","region2","region","cases","week","year","x","y","SIG_CD"
"1","강원","강릉시","강원-강릉시",2,2,2025,128.8323789,37.70910197,42150
"2","강원","강릉시","강원-강릉시",1,3,2025,128.8323789,37.70910197,42150
"3","강원","강릉시","강원-강릉시",0,4,2025,128.8323789,37.70910197,42150
"4","강원","강릉시","강원-강릉시",1,5,2025,128.8323789,37.70910197,42150
"5","강원","강릉시","강원-강릉시",1,1,2025,128.8323789,37.70910197,42150
"6","강원","강릉시","강원-강릉시",0,15,2025,128.8323789,37.70910197,42150
"7","강원","강릉시","강원-강릉시",0,16,2025,128.8323789,37.70910197,42150
"8","강원","강릉시","강원-강릉시",1,17,2025,128.8323789,37.70910197,42150
"9","강원","강릉시","강원-강릉시",0,18,2025,128.8323789,37.70910197,42150
"10","강원","강릉시","강원-강릉시",0,6,2025,128.8323789,37.70910197,42150
"11","강원","강릉시","강원-강릉시",1,7,2025,128.8323789,37.70910197,42150
"12","강원","강릉시","강원-강릉시",0,8,2025,128.8323789,37.70910197,42150
"13","강원","강릉시","강원-강릉시",0,9,2025,128.8323789,37.70910197,42150
"14","강원","강릉시","강원-강릉시",0,10,2025,128.8323789,37.70910197,42150
"15","강원","강릉시","강원-강릉시",0,11,2025,128.8323789,37.70910197,42150
"16","강원","강릉시","강원-강릉시",0,12,2025,128.8323789,37.70910197,42150
"17","강원","강릉시","강원-강릉시",0,13,2025,128.8323789,37.70910197,42150
"18","강원","강릉시","강원-강릉시",0,14,2025,128.8323789,37.70910197,42150
"19","강원","강릉시","강원-강릉시",0,28,2025,128.8323789,37.70910197,42150
"20","강원","강릉시","강원-강릉시",0,29,2025,128.8323789,37.70910197,42150
"21","강원","강릉시","강원-강릉시",1,30,2025,128.8323789,37.70910197,42150
"22","강원","강릉시","강원-강릉시",0,31,2025,128.8323789,37.70910197,42150
"23","강원","강릉시","강원-강릉시",0,19,2025,128.8323789,37.70910197,42150
"24","강원","강릉시","강원-강릉시",0,20,2025,128.8323789,37.70910197,42150
"25","강원","강릉시","강원-강릉시",0,21,2025,128.8323789,37.70910197,42150
